社名,株価換算係数,業種,セクター,証券コード,株価,換算株価,除数換算株価,ウエイト
ソフトバンクグループ,24,通信,技術,9984,7935,190440,638417.7003,9.8088
アドバンテスト,7.2,電気機器,技術,6857,26140,188208,630935.3000,9.6939
ファーストリテイリング,2.4,小売業,消費,9983,75140,180336,604545.7593,9.2884
東京エレクトロン,3,電気機器,技術,8035,51240,153720,515320.1475,7.9175
ＴＤＫ,15,電気機器,技術,6762,3632,54480,182634.9313,2.8061
キオクシアホールディングス,0.7,電気機器,技術,285A,62080,43456,145678.8468,2.2383
イビデン,2,電気機器,技術,4062,21110,42220,141535.3671,2.1746
ファナック,5,電気機器,技術,6954,8409,42045,140948.7094,2.1656
信越化学工業,5,化学,素材,4063,7081,35405,118689.2390,1.8236
フジクラ,6,非鉄・金属,素材,5803,5302,31812,106644.3178,1.6385
ＫＤＤＩ,12,通信,技術,9433,2640,31680,106201.8103,1.6314
リクルートホールディングス,3,サービス,消費,6098,9716,29148,97713.7110,1.5013
京セラ,8,電気機器,技術,6971,3141,25128,84237.3450,1.2942
ダイキン工業,1,機械,資本財・その他,6367,23340,23340,78243.3791,1.2022
中外製薬,3,医薬品,技術,4519,7613,22839,76563.8619,1.1763
豊田通商,3,商社,素材,8015,6971,20913,70107.2746,1.0771
村田製作所,2.4,電気機器,技術,6981,8060,19344,64847.4690,0.9963
コナミグループ,1,サービス,消費,9766,18785,18785,62973.5166,0.9675
テルモ,8,精密機器,技術,4543,2328,18624,62433.7915,0.9593
ソニーグループ,5,電気機器,技術,6758,3559,17795,59654.7100,0.9166
レーザーテック,0.4,電気機器,技術,6920,42360,16944,56801.8773,0.8727
日東電工,5,化学,素材,6988,3152,15760,52832.7187,0.8117
三菱商事,3,商社,素材,8058,5176,15528,52054.9782,0.7998
トヨタ自動車,5,自動車,技術,7203,3012,15060,50486.0878,0.7757
ディスコ,0.2,精密機器,技術,6146,67560,13512,45296.6812,0.6960
ＨＯＹＡ,0.5,精密機器,技術,7741,26325,13162.5,44125.0419,0.6779
セコム,2,サービス,消費,9735,6485,12970,43479.7184,0.6680
住友電気工業,1,非鉄・金属,素材,5802,11915,11915,39943.0104,0.6137
太陽誘電,1,電気機器,技術,6976,11505,11505,38568.5551,0.5926
大塚ホールディングス,1,医薬品,技術,4578,11435,11435,38333.8921,0.5890
東京海上ホールディングス,1.5,保険,金融,8766,7429,11143.5,37356.6879,0.5740
アステラス製薬,5,医薬品,技術,4503,2220,11100,37210.8615,0.5717
バンダイナムコホールディングス,3,その他製造,資本財・その他,7832,3639,10917,36597.3852,0.5623
三井物産,2,商社,素材,8031,5415,10830,36305.7325,0.5578
