year,prefecture,population
2020,東京都,14047594
2015,東京都,13515271
2010,東京都,13159388
2005,東京都,12576601
2000,東京都,12064101
1995,東京都,11773605
1990,東京都,11855563
1985,東京都,11829363
1980,東京都,11618281
1975,東京都,11673554
1970,東京都,11408071
1965,東京都,10869244
1960,東京都,9683802
1955,東京都,8037084
1950,東京都,6277500
2020,神奈川県,9237337
2015,神奈川県,9126214
2010,神奈川県,9048331
2005,神奈川県,8791597
2000,神奈川県,8489974
1995,神奈川県,8245900
1990,神奈川県,7980391
1985,神奈川県,7431974
1980,神奈川県,6924348
1975,神奈川県,6397748
1970,神奈川県,5472247
1965,神奈川県,4430743
1960,神奈川県,3443176
1955,神奈川県,2919497
1950,神奈川県,2487665
2020,大阪府,8837685
2015,大阪府,8839469
2010,大阪府,8865245
2005,大阪府,8817166
2000,大阪府,8805081
1995,大阪府,8797268
1990,大阪府,8734516
1985,大阪府,8668095
1980,大阪府,8473446
1975,大阪府,8278925
1970,大阪府,7620480
1965,大阪府,6657189
1960,大阪府,5504746
1955,大阪府,4618308
1950,大阪府,3857047
2020,愛知県,7542415
2015,愛知県,7483128
2010,愛知県,7410719
2005,愛知県,7254704
2000,愛知県,7043300
1995,愛知県,6868336
1990,愛知県,6690603
1985,愛知県,6455172
1980,愛知県,6221638
1975,愛知県,5923569
1970,愛知県,5386163
1965,愛知県,4798653
1960,愛知県,4206313
1955,愛知県,3769209
1950,愛知県,3390585
2020,埼玉県,7344765
2015,埼玉県,7266534
2010,埼玉県,7194556
2005,埼玉県,7054243
2000,埼玉県,6938006
1995,埼玉県,6759311
1990,埼玉県,6405319
1985,埼玉県,5863678
1980,埼玉県,5420480
1975,埼玉県,4821340
1970,埼玉県,3866472
1965,埼玉県,3014983
1960,埼玉県,2430871
1955,埼玉県,2262623
1950,埼玉県,2146445
2020,千葉県,6284480
2015,千葉県,6222666
2010,千葉県,6216289
2005,千葉県,6056462
2000,千葉県,5926285
1995,千葉県,5797782
1990,千葉県,5555429
1985,千葉県,5148163
1980,千葉県,4735424
1975,千葉県,4149147
1970,千葉県,3366624
1965,千葉県,2701770
1960,千葉県,2306010
1955,千葉県,2205060
1950,千葉県,2139037
2020,兵庫県,5465002
2015,兵庫県,5534800
2010,兵庫県,5588133
2005,兵庫県,5590601
2000,兵庫県,5550574
1995,兵庫県,5401877
1990,兵庫県,5405040
1985,兵庫県,5278050
1980,兵庫県,5144892
1975,兵庫県,4992140
1970,兵庫県,4667928
1965,兵庫県,4309944
1960,兵庫県,3906487
1955,兵庫県,3620947
1950,兵庫県,3309935
2020,北海道,5224614
2015,北海道,5381733
2010,北海道,5506419
2005,北海道,5627737
2000,北海道,5683062
1995,北海道,5692321
1990,北海道,5643647
1985,北海道,5679439
1980,北海道,5575989
1975,北海道,5338206
1970,北海道,5184287
1965,北海道,5171800
1960,北海道,5039206
1955,北海道,4773087
1950,北海道,4295567
2020,福岡県,5135214
2015,福岡県,5101556
2010,福岡県,5071968
2005,福岡県,5049908
2000,福岡県,5015699
1995,福岡県,4933393
1990,福岡県,4811050
1985,福岡県,4719259
1980,福岡県,4553461
1975,福岡県,4292963
1970,福岡県,4027416
1965,福岡県,3964611
1960,福岡県,4006679
1955,福岡県,3859764
1950,福岡県,3530169
2020,静岡県,3633202
2015,静岡県,3700305
2010,静岡県,3765007
2005,静岡県,3792377
2000,静岡県,3767393
1995,静岡県,3737689
1990,静岡県,3670840
1985,静岡県,3574692
1980,静岡県,3446804
1975,静岡県,3308799
1970,静岡県,3089895
1965,静岡県,2912521
1960,静岡県,2756271
1955,静岡県,2650435
1950,静岡県,2471472
2020,茨城県,2867009
2015,茨城県,2916976
2010,茨城県,2969770
2005,茨城県,2975167
2000,茨城県,2985676
1995,茨城県,2955530
1990,茨城県,2845382
1985,茨城県,2725005
1980,茨城県,2558007
1975,茨城県,2342198
1970,茨城県,2143551
1965,茨城県,2056154
1960,茨城県,2047024
1955,茨城県,2064037
1950,茨城県,2039418
2020,広島県,2799702
2015,広島県,2843990
2010,広島県,2860750
2005,広島県,2876642
2000,広島県,2878915
1995,広島県,2881748
1990,広島県,2849847
1985,広島県,2819200
1980,広島県,2739161
1975,広島県,2646324
1970,広島県,2436135
1965,広島県,2281146
1960,広島県,2184043
1955,広島県,2149044
1950,広島県,2081967
2020,京都府,2578087
2015,京都府,2610353
2010,京都府,2636092
2005,京都府,2647660
2000,京都府,2644391
1995,京都府,2629592
1990,京都府,2602460
1985,京都府,2586574
1980,京都府,2527330
1975,京都府,2424856
1970,京都府,2250087
1965,京都府,2102808
1960,京都府,1993403
1955,京都府,1935161
1950,京都府,1832934
2020,宮城県,2301996
2015,宮城県,2333899
2010,宮城県,2348165
2005,宮城県,2360218
2000,宮城県,2365320
1995,宮城県,2328739
1990,宮城県,2248558
1985,宮城県,2176295
1980,宮城県,2082320
1975,宮城県,1955267
1970,宮城県,1819223
1965,宮城県,1753126
1960,宮城県,1743195
1955,宮城県,1727065
1950,宮城県,1663442
2020,新潟県,2201272
2015,新潟県,2304264
2010,新潟県,2374450
2005,新潟県,2431459
2000,新潟県,2475733
1995,新潟県,2488364
1990,新潟県,2474583
1985,新潟県,2478470
1980,新潟県,2451357
1975,新潟県,2391938
1970,新潟県,2360982
1965,新潟県,2398931
1960,新潟県,2442037
1955,新潟県,2473492
1950,新潟県,2460997
2020,長野県,2048011
2015,長野県,2098804
2010,長野県,2152449
2005,長野県,2196114
2000,長野県,2215168
1995,長野県,2193984
1990,長野県,2156627
1985,長野県,2136927
1980,長野県,2083934
1975,長野県,2017564
1970,長野県,1956917
1965,長野県,1958007
1960,長野県,1981433
1955,長野県,2021292
1950,長野県,2060831
2020,岐阜県,1978742
2015,岐阜県,2031903
2010,岐阜県,2080773
2005,岐阜県,2107226
2000,岐阜県,2107700
1995,岐阜県,2100315
1990,岐阜県,2066569
1985,岐阜県,2028536
1980,岐阜県,1960107
1975,岐阜県,1867978
