code,value
"01100",-4521236
"01202",663769
"01203",297810
"01204",1414807
"01205",-38857
"01206",906019
"01207",341433
"01208",547859
"01209",365563
"01210",429867
"01211",1917249
"01212",442220
"01213",417998
"01214",2569408
"01215",1069983
"01216",81545
"01217",290893
"01218",763857
"01219",13375149
"01220",63030
"01221",32065
"01222",236784
"01223",12527516
"01224",3106074
"01225",1425977
"01226",487718
"01227",6150
"01228",405926
"01229",81328
"01230",794555
"01231",1093717
"01233",47155
"01234",215163
"01235",325066
"01236",47959
"01303",1933886
"01304",81043
"01331",33419
"01332",42632
"01333",177871
"01334",32558
"01337",17756
"01343",611264
"01345",1909967
"01346",1927427
"01347",48362
"01361",50092
"01362",44905
"01363",28080
"01364",57570
"01367",39539
"01370",11753
"01371",146519
"01391",575
"01392",1459961
"01393",255734
"01394",29212
"01395",15354
"01396",32926
"01397",107061
"01398",39628
"01399",58163
"01400",250941
"01401",67794
"01402",78145
"01403",1092
"01404",2350
"01405",73867
"01406",475714
"01407",314453
"01408",428005
"01409",350308
"01423",110679
"01424",115269
"01425",2245
"01427",132952
"01428",241302
"01429",286815
"01430",324489
"01431",101187
"01432",110195
"01433",228057
"01434",453180
"01436",297255
"01437",592745
"01438",158591
"01452",111211
"01453",236804
"01454",378833
"01455",37630
"01456",38957
"01457",67181
"01458",683710
"01459",159457
"01460",307997
"01461",211507
"01462",34622
"01463",18610
"01464",36998
"01465",20898
"01468",33365
"01469",112528
"01470",10436
"01471",572
"01472",48629
"01481",505954
"01482",6361
"01483",4741
"01484",145709
"01485",1064
"01486",90355
"01487",113650
"01511",307190
"01512",4450
"01513",1006
"01514",582415
"01516",428069
"01517",286088
"01518",238346
"01519",346796
"01520",22437
"01543",76492
"01544",84454
"01545",18805
"01546",13022
"01547",112184
"01549",31049
"01550",27757
"01552",202894
"01555",27738
"01559",86419
"01560",8656
"01561",104981
"01562",3400
"01563",183228
"01564",200829
"01571",49367
"01575",120421
"01578",392342
"01581",514010
"01584",70217
"01585",574798
"01586",44244
"01601",92896
"01602",174605
"01604",127962
"01607",582365
"01608",221355
"01609",866446
"01610",108801
"01631",504336
"01632",260603
"01633",1755933
"01634",107540
"01635",83659
"01636",189595
"01637",77992
"01638",755113
"01639",17850
"01641",247113
"01642",146210
"01643",263780
"01644",743682
"01645",76757
"01646",83636
"01647",75509
"01648",9852
"01649",86303
"01661",269289
"01662",462551
"01663",698041
"01664",110320
"01665",3967703
"01667",42032
"01668",9734217
"01691",136134
"01692",118017
"01693",154642
"01694",410061
"02201",251976
"02202",505543
"02203",-110401
"02204",130743
"02205",566694
"02206",3872
"02207",672
"02208",136507
"02209",26685
"02210",229456
"02301",7894
"02303",14303
"02304",757
"02307",4539
"02321",261884
"02323",35573
"02343",14226
"02361",172769
"02362",21078
"02367",7379
"02381",77716
"02384",89468
"02387",36678
"02401",-342
"02402",41949
"02405",-1820
"02406",7436
"02408",25232
"02411",-1798
"02412",13385
"02423",79874
"02424",108683
"02425",9990
"02426",11317
"02441",390990
"02442",112087
"02443",98639
"02445",350308
"02446",5541
"02450",40842
"03201",-176223
"03202",94767
"03203",161622
"03205",2912894
"03206",1612057
"03207",314378
"03208",159225
"03209",235425
"03210",647960
"03211",710814
"03213",86971
"03214",72705
"03215",1488003
"03216",13330
"03301",343583
"03302",15289
"03303",77432
"03321",307836
"03322",551585
"03366",194314
"03381",29695
"03402",3632
"03441",22761
"03461",197313
"03482",167556
"03483",116047
"03484",4283
"03485",233387
"03501",21842
"03503",6056
"03506",1852
"03507",58027
"03524",60477
"04100",-2671459
"04202",283357
"04203",119623
"04205",435880
"04206",547007
